,title,year,month,N
0,Excel Базовый,2016,3,0
1,Excel Базовый,2016,4,0
2,Excel Базовый,2016,5,0
3,Excel Базовый,2016,6,0
4,Excel Базовый,2016,7,0
5,Excel Базовый,2016,8,0
6,Excel Базовый,2016,9,0
7,Excel Базовый,2016,10,0
8,Excel Базовый,2016,11,0
9,Excel Базовый,2016,12,0
10,Excel Базовый,2017,1,0
11,Excel Базовый,2017,2,0
12,Excel Базовый,2017,3,0
13,Excel Базовый,2017,4,0
14,Excel Базовый,2017,5,0
15,Excel Базовый,2017,6,0
16,Excel Базовый,2017,7,0
17,Excel Базовый,2017,8,0
18,Excel Базовый,2017,9,0
19,Excel Базовый,2017,10,0
20,Excel Базовый,2017,11,0
21,Excel Базовый,2017,12,0
22,Excel Базовый,2018,1,0
23,Excel Базовый,2018,2,35
24,Excel Базовый,2018,3,6
25,Excel Базовый,2018,4,12
26,Excel Базовый,2018,5,17
27,Excel Базовый,2018,6,34
28,Excel Базовый,2018,7,76
29,Excel Базовый,2018,8,88
30,Excel Базовый,2018,9,181
31,Excel Базовый,2018,10,235
32,Excel Базовый,2018,11,224
33,Excel Базовый,2018,12,227
34,Excel Базовый,2019,1,311
35,Excel Базовый,2019,2,327
36,Excel Базовый,2019,3,340
37,Excel Базовый,2019,4,305
38,Excel Базовый,2019,5,289
39,Excel Базовый,2019,6,246
40,Excel Базовый,2019,7,157
41,Java-разработчик,2016,3,0
42,Java-разработчик,2016,4,0
43,Java-разработчик,2016,5,0
44,Java-разработчик,2016,6,0
45,Java-разработчик,2016,7,0
46,Java-разработчик,2016,8,0
47,Java-разработчик,2016,9,0
48,Java-разработчик,2016,10,0
49,Java-разработчик,2016,11,0
50,Java-разработчик,2016,12,0
51,Java-разработчик,2017,1,0
52,Java-разработчик,2017,2,0
53,Java-разработчик,2017,3,0
54,Java-разработчик,2017,4,0
55,Java-разработчик,2017,5,0
56,Java-разработчик,2017,6,0
57,Java-разработчик,2017,7,0
58,Java-разработчик,2017,8,0
59,Java-разработчик,2017,9,0
60,Java-разработчик,2017,10,0
61,Java-разработчик,2017,11,0
62,Java-разработчик,2017,12,0
63,Java-разработчик,2018,1,1
64,Java-разработчик,2018,2,23
65,Java-разработчик,2018,3,80
66,Java-разработчик,2018,4,81
67,Java-разработчик,2018,5,84
68,Java-разработчик,2018,6,137
69,Java-разработчик,2018,7,195
70,Java-разработчик,2018,8,171
71,Java-разработчик,2018,9,183
72,Java-разработчик,2018,10,240
73,Java-разработчик,2018,11,226
74,Java-разработчик,2018,12,377
75,Java-разработчик,2019,1,449
76,Java-разработчик,2019,2,427
77,Java-разработчик,2019,3,469
78,Java-разработчик,2019,4,261
79,Java-разработчик,2019,5,171
80,Java-разработчик,2019,6,102
81,Java-разработчик,2019,7,36
82,Java-разработчик c нуля,2016,3,0
83,Java-разработчик c нуля,2016,4,0
84,Java-разработчик c нуля,2016,5,0
85,Java-разработчик c нуля,2016,6,0
86,Java-разработчик c нуля,2016,7,0
87,Java-разработчик c нуля,2016,8,0
88,Java-разработчик c нуля,2016,9,0
89,Java-разработчик c нуля,2016,10,0
90,Java-разработчик c нуля,2016,11,0
91,Java-разработчик c нуля,2016,12,0
92,Java-разработчик c нуля,2017,1,0
93,Java-разработчик c нуля,2017,2,0
94,Java-разработчик c нуля,2017,3,0
95,Java-разработчик c нуля,2017,4,0
96,Java-разработчик c нуля,2017,5,0
97,Java-разработчик c нуля,2017,6,0
98,Java-разработчик c нуля,2017,7,0
99,Java-разработчик c нуля,2017,8,0
100,Java-разработчик c нуля,2017,9,0
101,Java-разработчик c нуля,2017,10,0
102,Java-разработчик c нуля,2017,11,0
103,Java-разработчик c нуля,2017,12,0
104,Java-разработчик c нуля,2018,1,0
105,Java-разработчик c нуля,2018,2,0
106,Java-разработчик c нуля,2018,3,0
107,Java-разработчик c нуля,2018,4,0
108,Java-разработчик c нуля,2018,5,0
109,Java-разработчик c нуля,2018,6,0
110,Java-разработчик c нуля,2018,7,0
111,Java-разработчик c нуля,2018,8,0
112,Java-разработчик c нуля,2018,9,0
113,Java-разработчик c нуля,2018,10,0
114,Java-разработчик c нуля,2018,11,0
115,Java-разработчик c нуля,2018,12,0
116,Java-разработчик c нуля,2019,1,0
117,Java-разработчик c нуля,2019,2,0
118,Java-разработчик c нуля,2019,3,87
